"pattern","freq","support"
"{COMP8410,COMP8430}",82,0.589928057553957
"{COMP6730,COMP8430}",58,0.41726618705036
"{COMP6730,COMP8410}",53,0.381294964028777
"{COMP6240,COMP6730}",49,0.352517985611511
"{COMP6490,COMP8430}",49,0.352517985611511
"{COMP6490,COMP8410}",48,0.345323741007194
"{COMP6730,COMP8410,COMP8430}",48,0.345323741007194
"{COMP7240,COMP8430}",47,0.338129496402878
"{COMP6490,COMP8410,COMP8430}",47,0.338129496402878
"{COMP7240,COMP8410}",45,0.323741007194245
"{COMP8410,COMP8420}",44,0.316546762589928
"{COMP8420,COMP8430}",43,0.309352517985612
"{COMP8410,COMP8420,COMP8430}",43,0.309352517985612
"{COMP7240,COMP8410,COMP8430}",42,0.302158273381295
"{COMP6730,COMP7240}",40,0.287769784172662
"{COMP6240,COMP8410}",34,0.244604316546763
"{COMP6240,COMP8430}",34,0.244604316546763
"{COMP6240,COMP8410,COMP8430}",32,0.23021582733813
"{COMP6490,COMP8420}",30,0.215827338129496
"{COMP6490,COMP6730}",30,0.215827338129496
"{COMP6490,COMP8410,COMP8420}",30,0.215827338129496
"{COMP6490,COMP8420,COMP8430}",30,0.215827338129496
"{COMP6490,COMP8410,COMP8420,COMP8430}",30,0.215827338129496
"{COMP6490,COMP6730,COMP8430}",29,0.20863309352518
"{COMP6490,COMP6730,COMP8410}",28,0.201438848920863
"{COMP7240,COMP8420}",27,0.194244604316547
"{COMP6490,COMP7240}",27,0.194244604316547
"{COMP6240,COMP6730,COMP8410}",27,0.194244604316547
"{COMP6240,COMP6730,COMP8430}",27,0.194244604316547
"{COMP6490,COMP7240,COMP8410}",27,0.194244604316547
"{COMP6490,COMP6730,COMP8410,COMP8430}",27,0.194244604316547
"{COMP7240,COMP8410,COMP8420}",26,0.18705035971223
"{COMP7240,COMP8420,COMP8430}",26,0.18705035971223
"{COMP6490,COMP7240,COMP8430}",26,0.18705035971223
"{COMP7240,COMP8410,COMP8420,COMP8430}",26,0.18705035971223
"{COMP6490,COMP7240,COMP8410,COMP8430}",26,0.18705035971223
"{COMP6730,COMP8420}",25,0.179856115107914
"{COMP6730,COMP8410,COMP8420}",25,0.179856115107914
"{COMP6730,COMP7240,COMP8430}",25,0.179856115107914
"{COMP6240,COMP6730,COMP8410,COMP8430}",25,0.179856115107914
"{COMP8430,COMP8600}",24,0.172661870503597
"{COMP6730,COMP8420,COMP8430}",24,0.172661870503597
"{COMP6730,COMP7240,COMP8410}",24,0.172661870503597
"{COMP6730,COMP8410,COMP8420,COMP8430}",24,0.172661870503597
"{COMP6730,COMP7240,COMP8410,COMP8430}",21,0.151079136690647
"{COMP7230,COMP7240}",20,0.143884892086331
"{COMP8410,COMP8600}",20,0.143884892086331
"{COMP6240,COMP6490}",20,0.143884892086331
"{COMP8410,COMP8430,COMP8600}",20,0.143884892086331
"{COMP6240,COMP6490,COMP8430}",20,0.143884892086331
"{COMP7230,COMP8410}",19,0.136690647482014
"{COMP7230,COMP8430}",19,0.136690647482014
"{COMP7230,COMP8410,COMP8430}",19,0.136690647482014
"{COMP6490,COMP7240,COMP8420}",19,0.136690647482014
"{COMP6490,COMP7240,COMP8410,COMP8420}",19,0.136690647482014
"{COMP6490,COMP7240,COMP8420,COMP8430}",19,0.136690647482014
"{COMP6490,COMP7240,COMP8410,COMP8420,COMP8430}",19,0.136690647482014
"{COMP6240,COMP6490,COMP8410}",18,0.129496402877698
"{COMP6240,COMP6490,COMP8410,COMP8430}",18,0.129496402877698
"{COMP8420,COMP8600}",17,0.122302158273381
"{COMP6730,COMP8600}",16,0.115107913669065
"{COMP6240,COMP8420}",16,0.115107913669065
"{COMP7230,COMP7240,COMP8410}",16,0.115107913669065
"{COMP7230,COMP7240,COMP8430}",16,0.115107913669065
"{COMP8410,COMP8420,COMP8600}",16,0.115107913669065
"{COMP8420,COMP8430,COMP8600}",16,0.115107913669065
"{COMP6730,COMP8430,COMP8600}",16,0.115107913669065
"{COMP7230,COMP7240,COMP8410,COMP8430}",16,0.115107913669065
"{COMP8410,COMP8420,COMP8430,COMP8600}",16,0.115107913669065
"{COMP6240,COMP8410,COMP8420}",15,0.107913669064748
"{COMP6240,COMP6490,COMP6730}",15,0.107913669064748
"{COMP6240,COMP6490,COMP6730,COMP8430}",15,0.107913669064748
"{COMP6240,COMP8420,COMP8430}",14,0.100719424460432
"{COMP6490,COMP6730,COMP8420}",14,0.100719424460432
"{COMP6240,COMP8410,COMP8420,COMP8430}",14,0.100719424460432
"{COMP6490,COMP6730,COMP8410,COMP8420}",14,0.100719424460432
"{COMP6490,COMP6730,COMP8420,COMP8430}",14,0.100719424460432
"{COMP6490,COMP6730,COMP8410,COMP8420,COMP8430}",14,0.100719424460432
