"rules","support","confidence","coverage","lift","count"
"{COMP8410} => {COMP8430}",0.589928057553957,0.942528735632184,0.62589928057554,1.40872574465455,82
"{COMP8430} => {COMP8410}",0.589928057553957,0.881720430107527,0.669064748201439,1.40872574465455,82
"{COMP6730} => {COMP8430}",0.41726618705036,0.591836734693878,0.705035971223022,0.884573184112355,58
"{COMP8430} => {COMP6730}",0.41726618705036,0.623655913978495,0.669064748201439,0.884573184112355,58
"{COMP6730} => {COMP8410}",0.381294964028777,0.540816326530612,0.705035971223022,0.864062866525921,53
"{COMP8410} => {COMP6730}",0.381294964028777,0.609195402298851,0.62589928057554,0.864062866525921,53
"{COMP6240} => {COMP6730}",0.352517985611511,0.844827586206897,0.41726618705036,1.19827586206897,49
"{COMP6730} => {COMP6240}",0.352517985611511,0.5,0.705035971223022,1.19827586206897,49
"{COMP6490} => {COMP8430}",0.352517985611511,0.98,0.359712230215827,1.4647311827957,49
"{COMP8430} => {COMP6490}",0.352517985611511,0.526881720430108,0.669064748201439,1.4647311827957,49
"{COMP6490} => {COMP8410}",0.345323741007194,0.96,0.359712230215827,1.53379310344828,48
"{COMP8410} => {COMP6490}",0.345323741007194,0.551724137931034,0.62589928057554,1.53379310344828,48
"{COMP6730,COMP8410} => {COMP8430}",0.345323741007194,0.905660377358491,0.381294964028777,1.35362142422398,48
"{COMP6730,COMP8430} => {COMP8410}",0.345323741007194,0.827586206896552,0.41726618705036,1.32223543400713,48
"{COMP8410,COMP8430} => {COMP6730}",0.345323741007194,0.585365853658537,0.589928057553957,0.83026381284221,48
"{COMP7240} => {COMP8430}",0.338129496402878,0.734375,0.460431654676259,1.09761424731183,47
"{COMP8430} => {COMP7240}",0.338129496402878,0.505376344086022,0.669064748201439,1.09761424731183,47
"{COMP6490,COMP8410} => {COMP8430}",0.338129496402878,0.979166666666667,0.345323741007194,1.46348566308244,47
"{COMP6490,COMP8430} => {COMP8410}",0.338129496402878,0.959183673469388,0.352517985611511,1.53248885761201,47
"{COMP8410,COMP8430} => {COMP6490}",0.338129496402878,0.573170731707317,0.589928057553957,1.59341463414634,47
"{COMP7240} => {COMP8410}",0.323741007194245,0.703125,0.460431654676259,1.12338362068966,45
"{COMP8410} => {COMP7240}",0.323741007194245,0.517241379310345,0.625899280575539,1.12338362068966,45
"{COMP8420} => {COMP8410}",0.316546762589928,0.936170212765957,0.338129496402878,1.49572022499389,44
"{COMP8410} => {COMP8420}",0.316546762589928,0.505747126436782,0.625899280575539,1.49572022499389,44
"{COMP8420} => {COMP8430}",0.309352517985612,0.914893617021277,0.338129496402878,1.3674216426447,43
"{COMP8430} => {COMP8420}",0.309352517985612,0.462365591397849,0.669064748201439,1.3674216426447,43
"{COMP8410,COMP8420} => {COMP8430}",0.309352517985612,0.977272727272727,0.316546762589928,1.46065493646139,43
"{COMP8420,COMP8430} => {COMP8410}",0.309352517985612,1,0.309352517985612,1.59770114942529,43
"{COMP8410,COMP8430} => {COMP8420}",0.309352517985612,0.524390243902439,0.589928057553957,1.55085625324338,43
"{COMP7240,COMP8410} => {COMP8430}",0.302158273381295,0.933333333333333,0.323741007194245,1.39498207885305,42
"{COMP7240,COMP8430} => {COMP8410}",0.302158273381295,0.893617021276596,0.338129496402878,1.42773294203962,42
"{COMP8410,COMP8430} => {COMP7240}",0.302158273381295,0.51219512195122,0.589928057553957,1.1124237804878,42
"{COMP7240} => {COMP6730}",0.287769784172662,0.625,0.460431654676259,0.886479591836735,40
"{COMP6730} => {COMP7240}",0.287769784172662,0.408163265306122,0.705035971223022,0.886479591836735,40
"{COMP6240} => {COMP8410}",0.244604316546763,0.586206896551724,0.41726618705036,0.93658343242172,34
